Entity,Code,Year,10.5.1 - Return on assets (%) - FI_FSI_FSERA,10.5.1 - Regulatory capital to assets (%) - FI_FSI_FSKA,10.5.1 - Liquid assets to short term liabilities (%) - FI_FSI_FSLS,10.5.1 - Non-performing loans to total gross loans (%) - FI_FSI_FSANL,10.5.1 - Net open position in foreign exchange to capital (%) - FI_FSI_FSSNO,10.5.1 - Non-performing loans net of provisions to capital (%) - FI_FSI_FSKNL,10.5.1 - Regulatory Tier 1 capital to risk-weighted assets (%) - FI_FSI_FSKRTC
Lesotho,LSO,2014,3.14165249566237,9.58605333666772,57.459275632729,4.23976923023769,3.98409649881645,6.71418306930368,12.9610222414188
Lesotho,LSO,2015,3.25906224548329,9.30782271612028,58.2490380031334,4.03779220172476,7.65227126818529,6.24562138193103,13.7929476377176
Lesotho,LSO,2016,3.26780362513808,11.9340976505741,47.3278423990835,3.6944118773996,31.9184388524433,5.751332664242,17.1942079742295
Lesotho,LSO,2017,2.35704452724275,11.1220687031092,52.7938917308906,4.41640017238618,24.5673886791829,6.41195528322534,20.8677673359547
Lesotho,LSO,2018,2.72070292285156,11.5051613673501,52.9378143360007,3.66046491384932,23.5831845748727,5.82629128524919,20.1841309688666
Lesotho,LSO,2019,3.01192961789468,12.5570843352064,33.9570385636546,3.29905737050076,28.2880301484247,4.6611043454411,21.7267206967405
Lithuania,LTU,2008,1.11346849757848,8.23365570758741,34.4170705871112,6.08371852153549,0.974186762234267,44.0454509250746,9.1839015337928
Lithuania,LTU,2009,-4.52235335805538,7.30581660050698,34.9005069845929,23.9900756317356,1.00556896605563,128.719708262257,9.25321268782629
Lithuania,LTU,2010,-0.36799465878908,8.52961745320569,33.2381165019131,23.3337718978865,0.535641700864634,99.3867755984975,10.9499319067386
Lithuania,LTU,2011,1.74547511214908,10.7759044475961,38.2573405525867,18.8431216218018,0.624826515504093,80.9377613412055,12.2663162240328
Lithuania,LTU,2012,1.05681215840336,12.2833516518005,32.5952616166249,14.80169421076,0.290335843756412,62.5340297335698,15.2625475082594
Lithuania,LTU,2013,1.23696951241926,12.6199804176048,32.9576340325267,11.5860290373317,0.44377855302218,49.7907310348187,17.322036353359
Lithuania,LTU,2014,1.25197258757124,12.9122691140752,37.140711946234,8.18605013114376,0.402207499988464,34.4852847618288,20.9058815156357
Lithuania,LTU,2015,1.05005367199842,11.0579250530853,,4.94956913376007,0.0507592540761579,25.3913141730446,24.2937501989002
Lithuania,LTU,2016,1.1893335550387,8.62771870230953,22.5275796348233,3.66064619634649,0.0214729828418111,24.7416598190529,19.0942054936329
Lithuania,LTU,2017,1.10500401903423,9.38603535074521,31.0578564525743,3.17709584415856,0.0121835107463077,22.9492669587701,18.7878898353373
Lithuania,LTU,2018,1.50841891805532,9.60550974902351,31.3246558144284,2.27014872045055,0.0230335683044323,17.9459051266696,18.4493512073985
Lithuania,LTU,2019,1.3834527252929,6.88460416503108,36.1705169593367,1.04438547521426,0.0279303381710264,6.43645729213589,19.4879394482245
Luxembourg,LUX,2008,0.222654055196997,4.34116413041965,67.7526401171504,,1.60773397627958,,12.8836751706683
Luxembourg,LUX,2009,0.638502988256181,5.53732069049356,64.7359608768323,0.670613945190373,-0.623418865196964,2.86316724003995,16.7029808934579
Luxembourg,LUX,2010,0.678519430986347,5.23441668004042,65.759293555737,0.247232603084002,0.337634149282527,2.47992986989019,14.7425430113
Luxembourg,LUX,2011,0.256098048967319,4.99762766316247,68.520001466652,0.379416485489736,2.11902966641533,5.08296681327469,14.2916693912247
Luxembourg,LUX,2012,0.634539224847595,6.2837806517406,68.6316402835777,0.145588493246799,0.307069123219652,1.16221932616916,16.5543854792948
Luxembourg,LUX,2013,0.633683246962248,6.39190326438411,69.8888188620093,0.21316440756553,0.29559683875603,2.05883541439366,18.2680135703074
Luxembourg,LUX,2014,0.71292179977735,6.49562441480695,69.9099039646027,,,,19.104388289222
Luxembourg,LUX,2015,0.771750945360462,7.01051761355808,,,,,21.2530341918027
Luxembourg,LUX,2016,0.79867113560947,7.35565373285554,31.7865907926174,0.904844283559195,2.97294958325813,5.34845432086708,23.9352884927753
Luxembourg,LUX,2017,0.676873596746884,8.35098240479585,31.7080055972381,0.791204996244052,1.92700866519616,4.46597372856515,25.104440487503
Luxembourg,LUX,2018,0.58675327082101,7.97870895703012,34.6095385178225,0.896966330444119,1.88521804846183,6.43394386262805,24.2534186316536
