Entity,Code,Year,"16.7.1 - Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lower Chamber or Unicameral - SG_DMK_PARLMP_LC"
New Zealand,NZL,2022,0.95484
Nicaragua,NIC,2021,0.92691
Nicaragua,NIC,2022,0.96904
Niger,NER,2021,0.51065
Niger,NER,2022,0.51065
Nigeria,NGA,2021,0.07213
Nigeria,NGA,2022,0.07213
North Korea,PRK,2021,0.34041
North Korea,PRK,2022,0.34041
North Macedonia,MKD,2021,0.77746
Northern Africa,,2021,0.48073
Northern Africa,,2022,0.41903
Northern Africa (exc. Sudan),,2021,0.48073
Northern Africa (exc. Sudan),,2022,0.41903
Northern Africa and Western Asia,,2021,0.4051
Northern Africa and Western Asia,,2022,0.38872
Northern America,,2021,0.55254
Northern America,,2022,0.56521
Northern Europe,,2021,0.72188
Northern Europe,,2022,0.74714
Norway,NOR,2021,0.89363
Norway,NOR,2022,0.90555
Oceania,,2021,0.38305
Oceania,,2022,0.37954
Oceania (exc. Australia and New Zealand),,2021,0.12576
Oceania (exc. Australia and New Zealand),,2022,0.11541
Oman,OMN,2021,0.0823
Oman,OMN,2022,0.0823
Pakistan,PAK,2021,0.41149
Pakistan,PAK,2022,0.41745
Panama,PAN,2021,0.44628
Panama,PAN,2022,0.44628
Papua New Guinea,PNG,2021,0
Papua New Guinea,PNG,2022,0
Paraguay,PRY,2021,0.30328
Paraguay,PRY,2022,0.35383
Peru,PER,2021,0.52367
Peru,PER,2022,0.8009
Philippines,PHL,2021,0.54957
Philippines,PHL,2022,0.5442
Poland,POL,2021,0.54207
Poland,POL,2022,0.54089
Polynesia,OWID_PYA,2021,0.18354
Polynesia,OWID_PYA,2022,0.12942
Portugal,PRT,2021,0.74823
Portugal,PRT,2022,0.74823
Qatar,QAT,2021,0.45659
Qatar,QAT,2022,0.208
Romania,ROU,2021,0.35483
Romania,ROU,2022,0.36535
Russia,RUS,2021,0.28576
Russia,RUS,2022,0.29381
Rwanda,RWA,2021,1.18203
Rwanda,RWA,2022,1.18203
Saint Lucia,LCA,2021,0.32543
Saint Lucia,LCA,2022,0.21695
Saint Vincent and the Grenadines,VCT,2021,0.36823
Saint Vincent and the Grenadines,VCT,2022,0.36823
Samoa,WSM,2021,0.20664
Samoa,WSM,2022,0.16207
Sao Tome and Principe,STP,2021,0.46871
Sao Tome and Principe,STP,2022,0.46871
Saudi Arabia,SAU,2021,0.53724
Saudi Arabia,SAU,2022,0.53724
Senegal,SEN,2021,0.79614
Senegal,SEN,2022,0.78972
Serbia,SRB,2021,0.75896
Serbia,SRB,2022,0.77445
Seychelles,SYC,2021,0.46922
Seychelles,SYC,2022,0.46922
Sierra Leone,SLE,2021,0.24525
Sierra Leone,SLE,2022,0.24525
Singapore,SGP,2021,0.6202
Singapore,SGP,2022,0.61289
Slovakia,SVK,2021,0.43603
Slovakia,SVK,2022,0.41038
Slovenia,SVN,2021,0.5274
Slovenia,SVN,2022,0.57135
Small Island Developing States (SIDS),,2021,0.56856
Small Island Developing States (SIDS),,2022,0.57627
Solomon Islands,SLB,2021,0.16009
Solomon Islands,SLB,2022,0.16009
Somalia,SOM,2021,0.47775
Somalia,SOM,2022,0.47775
South Africa,ZAF,2021,0.89211
South Africa,ZAF,2022,0.90911
South America,,2021,0.50963
South America,,2022,0.5648
South Korea,KOR,2021,0.3764
South Korea,KOR,2022,0.36935
South Sudan,SSD,2021,0.56278
South Sudan,SSD,2022,0.63998
South-eastern Asia,,2021,0.42063
South-eastern Asia,,2022,0.4303
Southern Africa,,2021,0.69101
Southern Africa,,2022,0.71035
Southern Asia,,2021,0.35419
Southern Asia,,2022,0.35945
Southern Europe,,2021,0.65668
Southern Europe,,2022,0.66172
Spain,ESP,2021,0.85669
Spain,ESP,2022,0.83683
Sri Lanka,LKA,2021,0.10143
Sri Lanka,LKA,2022,0.10053
Sub-Saharan Africa,,2021,0.48913
Sub-Saharan Africa,,2022,0.51853
Sub-Saharan Africa (inc. Sudan),,2021,0.48913
Sub-Saharan Africa (inc. Sudan),,2022,0.51853
Suriname,SUR,2021,0.58053
Suriname,SUR,2022,0.58053
Sweden,SWE,2021,0.93539
Sweden,SWE,2022,0.91828
Switzerland,CHE,2021,0.82775
Switzerland,CHE,2022,0.8376
Tajikistan,TJK,2021,0.46946
Tajikistan,TJK,2022,0.53206
Tanzania,TZA,2021,0.72382
Tanzania,TZA,2022,0.72652
Thailand,THA,2021,0.30021
Thailand,THA,2022,0.30021
Timor,TLS,2021,0.77385
Timor,TLS,2022,0.8048
Togo,TGO,2021,0.36733
Togo,TGO,2022,0.36733
Tonga,TON,2021,0.14349
Tonga,TON,2022,0.07174
Trinidad and Tobago,TTO,2021,0.51292
Trinidad and Tobago,TTO,2022,0.51292
Tunisia,TUN,2021,0.50978
Tunisia,TUN,2022,0.50978
Turkey,TUR,2021,0.33474
Turkey,TUR,2022,0.338
Turkmenistan,TKM,2021,0.48087
Turkmenistan,TKM,2022,0.49745
Uganda,UGA,2021,0.67035
Uganda,UGA,2022,0.65025
Ukraine,UKR,2021,0.37774
Ukraine,UKR,2022,0.36916
United Arab Emirates,ARE,2021,1.90732
United Arab Emirates,ARE,2022,1.90732
United Kingdom,GBR,2021,0.663
United States,USA,2021,0.53192
United States,USA,2022,0.54093
Uruguay,URY,2021,0.45623
Uruguay,URY,2022,0.47524
Uzbekistan,UZB,2021,0.63746
Uzbekistan,UZB,2022,0.65074
Vanuatu,VUT,2021,0
Vanuatu,VUT,2022,0
Venezuela,VEN,2021,0.42667
Vietnam,VNM,2021,0.52164
Vietnam,VNM,2022,0.59075
Western Africa,,2021,0.31412
Western Africa,,2022,0.36748
Western Asia,,2021,0.34581
Western Asia,,2022,0.36482
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2021,0.31422
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2022,0.32755
Western Europe,,2021,0.70966
Western Europe,,2022,0.74766
World,OWID_WRL,2021,0.51122
World,OWID_WRL,2022,0.52224
Yemen,YEM,2021,0.00659
Yemen,YEM,2022,0
Zambia,ZMB,2021,0.32475
Zambia,ZMB,2022,0.2917
Zimbabwe,ZWE,2021,0.57721
Zimbabwe,ZWE,2022,0.5539
